iter	Passed	Remaining
879	6088	7748
880	6094	7741
881	6101	7733
882	6107	7726
883	6113	7718
884	6119	7710
885	6126	7703
886	6132	7695
887	6139	7687
888	6145	7680
889	6151	7672
890	6158	7664
891	6164	7657
892	6171	7650
893	6177	7642
894	6184	7635
895	6190	7627
896	6196	7620
897	6203	7612
898	6209	7604
899	6215	7597
900	6222	7589
901	6228	7581
902	6234	7574
903	6240	7566
904	6247	7558
905	6253	7551
906	6259	7543
907	6266	7535
908	6272	7528
909	6278	7520
910	6285	7513
911	6291	7505
912	6298	7498
913	6304	7491
914	6311	7484
915	6318	7477
916	6324	7469
917	6330	7461
918	6337	7454
919	6344	7447
920	6350	7440
921	6357	7432
922	6363	7425
923	6369	7417
924	6376	7409
925	6382	7402
926	6388	7395
927	6397	7389
928	6403	7382
929	6410	7375
930	6416	7367
931	6422	7360
932	6429	7352
933	6436	7345
934	6442	7338
935	6449	7331
936	6455	7324
937	6462	7316
938	6469	7309
939	6475	7302
940	6481	7294
941	6488	7287
942	6495	7280
943	6502	7274
944	6508	7266
945	6515	7259
946	6521	7251
947	6528	7244
948	6534	7237
949	6540	7229
950	6547	7222
951	6553	7214
952	6560	7207
953	6567	7200
954	6573	7192
955	6579	7185
956	6586	7178
957	6592	7170
958	6598	7162
959	6604	7155
960	6611	7147
961	6617	7140
962	6624	7133
963	6630	7125
964	6636	7118
965	6643	7111
966	6650	7103
967	6656	7096
968	6663	7089
969	6669	7081
970	6676	7075
971	6683	7068
972	6689	7061
973	6696	7054
974	6703	7047
975	6710	7040
976	6716	7032
977	6722	7025
978	6729	7017
979	6735	7010
980	6742	7003
981	6749	6996
982	6755	6989
983	6762	6982
984	6769	6976
985	6776	6969
986	6783	6962
987	6790	6955
988	6796	6947
989	6802	6939
990	6808	6932
991	6816	6926
992	6823	6919
993	6830	6913
994	6837	6905
995	6843	6898
996	6849	6890
997	6856	6883
998	6863	6876
999	6869	6869
1000	6875	6861
1001	6881	6854
1002	6888	6847
1003	6895	6840
1004	6902	6833
1005	6908	6825
1006	6915	6818
1007	6921	6811
1008	6927	6804
1009	6934	6796
1010	6940	6789
1011	6947	6782
1012	6953	6775
1013	6960	6768
1014	6967	6761
1015	6973	6754
1016	6980	6746
1017	6986	6739
1018	6992	6732
1019	7001	6727
1020	7008	6720
1021	7015	6713
1022	7022	6706
1023	7028	6699
1024	7035	6692
1025	7041	6684
1026	7048	6677
1027	7054	6670
1028	7060	6662
1029	7067	6655
1030	7073	6648
1031	7079	6640
1032	7086	6633
1033	7092	6626
1034	7098	6618
1035	7105	6611
1036	7111	6603
1037	7117	6596
1038	7123	6588
1039	7130	6581
1040	7138	6575
1041	7144	6568
1042	7150	6561
1043	7156	6553
1044	7163	6546
1045	7169	6539
1046	7176	6532
1047	7182	6524
1048	7189	6517
1049	7195	6510
1050	7201	6502
1051	7207	6495
1052	7213	6487
1053	7220	6480
1054	7226	6472
1055	7232	6465
1056	7238	6458
1057	7245	6451
1058	7251	6443
1059	7258	6437
1060	7265	6429
1061	7271	6422
1062	7278	6415
1063	7284	6408
1064	7291	6401
1065	7297	6393
1066	7303	6386
1067	7310	6379
1068	7316	6371
1069	7322	6364
1070	7329	6357
1071	7335	6350
1072	7342	6343
1073	7348	6335
1074	7354	6328
1075	7361	6321
1076	7367	6313
1077	7373	6306
1078	7380	6300
1079	7387	6292
1080	7393	6285
1081	7399	6278
1082	7406	6270
1083	7414	6265
1084	7420	6257
1085	7428	6252
1086	7435	6244
1087	7441	6237
1088	7447	6230
1089	7454	6223
1090	7460	6215
1091	7467	6208
1092	7473	6201
1093	7480	6194
1094	7486	6187
1095	7492	6180
1096	7499	6173
1097	7505	6165
1098	7511	6158
1099	7518	6151
1100	7524	6144
1101	7531	6136
1102	7537	6129
1103	7543	6122
1104	7549	6115
1105	7556	6108
1106	7562	6100
1107	7568	6093
1108	7575	6086
1109	7581	6078
1110	7588	6072
1111	7594	6065
1112	7602	6058
1113	7608	6051
1114	7614	6043
1115	7621	6036
1116	7628	6030
1117	7634	6023
1118	7641	6015
1119	7647	6008
1120	7654	6002
1121	7660	5994
1122	7667	5987
1123	7673	5980
1124	7680	5973
1125	7686	5966
1126	7692	5958
1127	7698	5951
1128	7705	5944
1129	7711	5937
1130	7717	5929
1131	7724	5922
1132	7731	5916
1133	7737	5909
1134	7744	5901
1135	7750	5894
1136	7756	5887
1137	7762	5880
1138	7769	5872
1139	7775	5865
1140	7781	5858
1141	7788	5851
1142	7794	5844
1143	7803	5839
1144	7810	5832
1145	7816	5824
1146	7823	5817
1147	7829	5810
1148	7835	5803
1149	7842	5796
1150	7848	5788
1151	7854	5781
1152	7861	5775
1153	7868	5768
1154	7874	5761
1155	7881	5754
1156	7888	5747
1157	7894	5740
1158	7901	5733
1159	7907	5726
1160	7914	5719
1161	7921	5712
1162	7928	5705
1163	7934	5698
1164	7940	5691
1165	7947	5684
1166	7953	5677
1167	7959	5670
1168	7966	5662
1169	7972	5655
1170	7978	5648
1171	7984	5641
1172	7991	5634
1173	7999	5628
1174	8006	5621
1175	8012	5614
1176	8019	5607
1177	8025	5600
1178	8031	5592
1179	8038	5585
1180	8044	5578
1181	8050	5571
1182	8057	5564
1183	8063	5557
1184	8070	5550
1185	8076	5543
1186	8083	5536
1187	8089	5529
1188	8095	5522
1189	8102	5514
1190	8108	5507
1191	8114	5500
1192	8121	5493
1193	8127	5486
1194	8134	5479
1195	8140	5472
1196	8147	5465
1197	8154	5459
1198	8162	5453
1199	8168	5445
1200	8175	5438
1201	8181	5431
1202	8187	5424
1203	8194	5417
1204	8200	5410
1205	8207	5403
1206	8213	5396
1207	8220	5389
1208	8227	5383
1209	8234	5376
1210	8240	5369
1211	8247	5361
1212	8253	5354
1213	8259	5347
1214	8265	5340
1215	8272	5333
1216	8278	5326
1217	8284	5318
1218	8290	5311
1219	8299	5306
1220	8306	5299
1221	8313	5293
1222	8320	5286
1223	8327	5279
1224	8333	5272
1225	8340	5265
1226	8346	5258
1227	8352	5251
1228	8359	5244
1229	8365	5237
1230	8372	5230
1231	8378	5223
1232	8385	5216
1233	8391	5208
1234	8397	5201
1235	8404	5195
1236	8410	5187
1237	8417	5180
1238	8423	5173
1239	8429	5166
1240	8436	5159
1241	8442	5152
1242	8449	5145
1243	8455	5138
1244	8461	5131
1245	8468	5124
1246	8475	5117
1247	8482	5111
1248	8488	5104
1249	8495	5097
1250	8501	5090
1251	8508	5083
1252	8514	5076
1253	8521	5069
1254	8528	5062
1255	8534	5055
1256	8541	5048
1257	8548	5041
1258	8554	5034
1259	8561	5028
1260	8568	5021
1261	8575	5014
1262	8581	5007
1263	8588	5000
1264	8594	4993
1265	8601	4986
1266	8607	4979
1267	8614	4972
1268	8620	4965
1269	8627	4959
1270	8633	4952
1271	8640	4945
1272	8647	4938
1273	8654	4931
1274	8663	4926
1275	8669	4919
1276	8676	4912
1277	8683	4905
1278	8689	4898
1279	8696	4891
1280	8703	4884
1281	8713	4879
1282	8719	4872
1283	8726	4866
1284	8732	4859
1285	8739	4852
1286	8746	4845
1287	8753	4838
1288	8760	4831
1289	8766	4825
1290	8773	4818
1291	8780	4811
1292	8786	4804
1293	8793	4797
1294	8800	4790
1295	8811	4786
1296	8817	4779
1297	8824	4772
1298	8830	4765
1299	8838	4759
1300	8844	4752
1301	8851	4745
1302	8858	4738
1303	8864	4731
1304	8871	4724
1305	8878	4717
1306	8884	4710
1307	8891	4704
1308	8898	4697
1309	8904	4690
1310	8911	4683
1311	8917	4676
1312	8924	4669
1313	8930	4662
